Name,Description,URL,Owner,Item Count,Total Joins
Researchers Political Science Luiss University,Researchers who are currently working / have worked in the Department of Political Science at Luiss University (Rome  Italy),https://bsky.app/starter-pack/paulsaproza.com/3lcfqd6qmsg2k,paulsaproza.com,0,1
Jon Sawyer's Starter Pack,Just a few folks and organizations whose work has positively influenced my own. Across a spectrum: religion  politics  law  the Christian Right  education policy  LGBTQ advocacy  etc.  Will add more in due time!,https://bsky.app/starter-pack/jonsawyer.org/3lazr4aapum24,jonsawyer.org,0,0
Scholars' Lab Extended Universe,Current and past Scholars' Lab: * staff * fellows * project/grant collaborators,https://bsky.app/starter-pack/scholarslab.bsky.social/3l4xoxo7xav24,scholarslab.bsky.social,0,0
Jon Shaffer's Starter Pack,No Description,https://bsky.app/starter-pack/jonshaffer.bsky.social/3lb6hjvjffi2d,jonshaffer.bsky.social,0,0
Studies in financialization & assetization,A starter pack on people and journals that have thoroughly engaged with aspects of financialization  assetization and the colonization of the lifeworld by finance at large. Tell me if you wanna be added.,https://bsky.app/starter-pack/econgeo.bsky.social/3lb3b7grsyh2b,econgeo.bsky.social,0,1
Internet studies starter pack #2,Second pack for internet studies and internet-adjacent scholars (third  in fact  Jess Maddox made one too! And @jmigozzi.bsky.social made a digital/platform capitalism one) - as well as platform studies. Very preliminary  please let me know if you want to join,https://bsky.app/starter-pack/msteinbrg.bsky.social/3lau3yuhpqn2p,msteinbrg.bsky.social,0,0
Internet studies starter pack,Internet studies  some platform studies  some STS  pretty wide variety but aim of including as many great critical tech studies folks & orgs as possible,https://bsky.app/starter-pack/msteinbrg.bsky.social/3laktgf3k422d,msteinbrg.bsky.social,0,2
Asian media studies,Some folks who research or write about Asian media studies. Non-exhaustive list so feel free to suggest additions,https://bsky.app/starter-pack/msteinbrg.bsky.social/3lahpgf7vym2f,msteinbrg.bsky.social,0,1
Department of Politics  University of Liverpool,Our academic colleagues who use BlueSky and comprise the Department of Politics  Liverpool!,https://bsky.app/starter-pack/andrewcrines.bsky.social/3lbdtrkhawc24,andrewcrines.bsky.social,0,1
Blackademia,#BlackSky 🤝🏾 #AcademicSky! 🖤❤️💚 A collection of Black Academics across disciplines and the diaspora!! 🌍,https://bsky.app/starter-pack/shaonta.bsky.social/3lawcjlefhw2g,shaonta.bsky.social,0,0
Anne Fausto-Sterling's Starter Pack,No Description,https://bsky.app/starter-pack/birdlady.bsky.social/3lauukjyj5625,birdlady.bsky.social,0,0
Joey Schafer's Starter Pack,No Description,https://bsky.app/starter-pack/schafer.bsky.social/3l2ln5xv4ra2z,schafer.bsky.social,0,0
AI Law & Policy Starter Pack,Thought leaders in artificial intelligence law and policy,https://bsky.app/starter-pack/daniel-solove.bsky.social/3lb6nvhgvjj22,daniel-solove.bsky.social,0,3
GW Law School Starter Pack,Professors and deans at the George Washington University Law School.,https://bsky.app/starter-pack/daniel-solove.bsky.social/3lb6kll2hz32e,daniel-solove.bsky.social,0,0
4th Amendment and Crim Pro Starter Pack,People and organizations focusing on Fourth Amendment  criminal procedure  and government surveillance.,https://bsky.app/starter-pack/daniel-solove.bsky.social/3lb6czojhp52q,daniel-solove.bsky.social,0,0
Privacy Law Starter Pack - Part 2,More great experts and commentators on privacy law  including AI  data security  and technology.    Also check out Privacy Law Starter Pack - Part 1 https://bsky.app/starter-pack/daniel-solove.bsky.social/3larusrgkro2n,https://bsky.app/starter-pack/daniel-solove.bsky.social/3lb3lpz5pqq2k,daniel-solove.bsky.social,0,4
Privacy Law Starter Pack - Part 1,Experts and commentators on privacy law.  Also check out Privacy Law Starter Pack - Part 2 https://bsky.app/starter-pack/daniel-solove.bsky.social/3lb3lpz5pqq2k,https://bsky.app/starter-pack/daniel-solove.bsky.social/3larusrgkro2n,daniel-solove.bsky.social,0,49
